violation_id,date,time,city,road_name,violation_type,vehicle_type,fine_amount,repeat_offender,weather,accident_occurred,accident_id,severity,vehicles_involved,weather_acc,fatalities,temperature_c,weather_weather,rainfall_mm
V0072,12-03-2024,20:44,Bengaluru,Outer Ring Road,Wrong Side,Truck,1000,Yes,weather,No,,,,,,24,Clear,44
V0073,13-03-2024,21:08,Hyderabad,ORR Hyderabad,Drunk Driving,Car,10000,No,weather,No,,,,,,14,Clear,12
V0074,14-03-2024,15:25,Mumbai,SV Road,Speeding,Car,2000,No,weather,No,,,,,,30,Fog,0
V0075,15-03-2024,17:32,Bengaluru,Silk Board Junction,No Helmet,Bus,500,No,weather,No,,,,,,26,Rain,0
V0076,16-03-2024,16:00,Bengaluru,Whitefield Road,No Seatbelt,Bus,1000,No,weather,No,,,,,,21,Rain,0
V0077,17-03-2024,12:17,Hyderabad,Mehdipatnam Road,Wrong Side,Bus,1000,No,weather,Yes,,,,,,29,Rain,0
V0078,18-03-2024,14:47,Delhi,MG Road,No Helmet,Bus,500,No,weather,No,,,,,,11,Fog,0
V0079,19-03-2024,23:04,Hyderabad,ORR Hyderabad,Wrong Side,Bike,1000,No,weather,Yes,,,,,,36,Rain,27
V0080,20-03-2024,23:52,Delhi,Ring Road,Wrong Side,Truck,1000,No,weather,Yes,,,,,,25,Rain,46
V0081,21-03-2024,16:29,Hyderabad,ORR Hyderabad,Signal Jump,Bus,1500,No,weather,No,,,,,,20,Fog,0
V0082,22-03-2024,10:45,Hyderabad,ORR Hyderabad,Drunk Driving,Bus,10000,No,weather,No,,,,,,18,Fog,0
V0083,23-03-2024,13:37,Mumbai,SV Road,Speeding,Auto,2000,No,weather,Yes,,,,,,18,Rain,0
V0084,24-03-2024,20:08,Delhi,Ring Road,Signal Jump,Car,1500,No,weather,Yes,,,,,,33,Clear,0
V0085,25-03-2024,01:56,Bengaluru,Outer Ring Road,Signal Jump,Bus,1500,Yes,weather,No,,,,,,30,Fog,0
V0086,26-03-2024,16:48,Chennai,OMR Road,No Helmet,Bike,500,No,weather,Yes,,,,,,36,Clear,0
V0087,27-03-2024,06:11,Delhi,Ring Road,No Seatbelt,Auto,1000,No,weather,Yes,,,,,,36,Fog,0
V0088,28-03-2024,13:49,Delhi,Ring Road,Wrong Side,Auto,1000,Yes,weather,Yes,,,,,,10,Rain,1
V0089,29-03-2024,13:53,Chennai,OMR Road,Wrong Side,Truck,1000,No,weather,No,,,,,,26,Clear,0
V0090,30-03-2024,08:55,Mumbai,Western Express Highway,Speeding,Bike,2000,Yes,weather,No,,,,,,33,Rain,0
V0091,31-03-2024,22:49,Chennai,OMR Road,No Seatbelt,Car,1000,No,weather,No,,,,,,22,Clear,20
V0092,01-04-2024,22:51,Mumbai,Western Express Highway,Wrong Side,Truck,1000,No,weather,Yes,,,,,,16,Clear,0
V0093,02-04-2024,18:12,Bengaluru,Whitefield Road,Drunk Driving,Bus,10000,No,weather,Yes,,,,,,32,Rain,0
V0094,03-04-2024,19:19,Bengaluru,Whitefield Road,No Seatbelt,Auto,1000,No,weather,Yes,,,,,,28,Fog,0
V0095,04-04-2024,23:27,Mumbai,SV Road,Speeding,Bus,2000,Yes,weather,Yes,,,,,,22,Rain,0
V0096,05-04-2024,08:58,Hyderabad,Mehdipatnam Road,No Helmet,Auto,500,Yes,weather,No,,,,,,34,Rain,0
V0097,06-04-2024,03:44,Delhi,Outer Ring Road,No Helmet,Bus,500,No,weather,No,,,,,,35,Fog,28
V0098,07-04-2024,06:01,Bengaluru,Silk Board Junction,Wrong Side,Car,1000,Yes,weather,No,,,,,,19,Fog,0
V0099,08-04-2024,06:26,Delhi,MG Road,Wrong Side,Car,1000,No,weather,No,A0099,Medium,1,Fog,3,16,Fog,0
V0100,09-04-2024,17:42,Delhi,GT Road,Speeding,Truck,2000,No,weather,No,,,,,,13,Clear,0
V0101,10-04-2024,19:52,Chennai,Anna Salai,Drunk Driving,Car,10000,Yes,weather,Yes,,,,,,34,Fog,0
V0102,11-04-2024,17:20,Hyderabad,ORR Hyderabad,Speeding,Auto,2000,No,weather,No,,,,,,15,Rain,0
V0103,12-04-2024,19:43,Delhi,MG Road,Wrong Side,Auto,1000,No,weather,No,,,,,,19,Clear,0
V0104,13-04-2024,01:09,Mumbai,Western Express Highway,No Helmet,Auto,500,Yes,weather,No,,,,,,22,Clear,26
V0105,14-04-2024,13:32,Hyderabad,Mehdipatnam Road,Signal Jump,Truck,1500,Yes,weather,Yes,A0105,Low,4,Rain,1,27,Clear,44
V0106,15-04-2024,11:09,Hyderabad,Hitech City Road,No Helmet,Bus,500,No,weather,Yes,,,,,,17,Rain,0
V0107,16-04-2024,07:48,Mumbai,Western Express Highway,Signal Jump,Auto,1500,No,weather,No,,,,,,16,Rain,0
V0108,17-04-2024,08:06,Chennai,Mount Road,Speeding,Truck,2000,No,weather,Yes,,,,,,31,Clear,5
V0109,18-04-2024,23:59,Bengaluru,Outer Ring Road,No Helmet,Car,500,Yes,weather,Yes,,,,,,13,Clear,38
V0110,19-04-2024,21:24,Hyderabad,ORR Hyderabad,No Helmet,Bus,500,No,weather,Yes,,,,,,23,Rain,0
V0111,20-04-2024,14:51,Mumbai,Link Road,Speeding,Bike,2000,Yes,weather,No,A0111,Medium,4,Clear,0,29,Fog,0
V0112,21-04-2024,21:10,Hyderabad,Hitech City Road,Signal Jump,Auto,1500,Yes,weather,Yes,,,,,,19,Fog,0
V0113,22-04-2024,02:35,Bengaluru,Silk Board Junction,Drunk Driving,Car,10000,Yes,weather,No,,,,,,35,Clear,0
V0114,23-04-2024,06:14,Mumbai,SV Road,No Helmet,Bus,500,Yes,weather,No,,,,,,21,Rain,0
V0115,24-04-2024,01:07,Delhi,Ring Road,No Seatbelt,Truck,1000,No,weather,Yes,,,,,,34,Fog,12
V0116,25-04-2024,23:18,Hyderabad,Mehdipatnam Road,No Seatbelt,Truck,1000,No,weather,Yes,,,,,,34,Rain,0
V0117,26-04-2024,13:42,Chennai,Anna Salai,No Seatbelt,Car,1000,No,weather,Yes,,,,,,14,Fog,0
V0118,27-04-2024,08:23,Chennai,Anna Salai,Signal Jump,Truck,1500,No,weather,Yes,,,,,,35,Clear,20
V0119,28-04-2024,23:34,Bengaluru,Outer Ring Road,Speeding,Car,2000,Yes,weather,Yes,,,,,,27,Clear,0
V0120,29-04-2024,04:09,Delhi,Ring Road,No Helmet,Bike,500,Yes,weather,No,,,,,,27,Fog,0
V0121,30-04-2024,05:51,Mumbai,Link Road,Signal Jump,Truck,1500,Yes,weather,Yes,,,,,,13,Fog,0
V0122,01-05-2024,19:17,Hyderabad,Hitech City Road,Drunk Driving,Auto,10000,Yes,weather,Yes,,,,,,34,Clear,0
V0123,02-05-2024,10:58,Mumbai,SV Road,Signal Jump,Bus,1500,Yes,weather,No,A0123,Medium,1,Clear,0,27,Clear,0
V0124,03-05-2024,03:05,Hyderabad,Mehdipatnam Road,Signal Jump,Auto,1500,No,weather,No,,,,,,38,Clear,41
V0125,04-05-2024,15:33,Chennai,OMR Road,Wrong Side,Truck,1000,No,weather,No,,,,,,33,Rain,0
V0126,05-05-2024,10:20,Delhi,Ring Road,No Seatbelt,Bus,1000,No,weather,No,,,,,,29,Fog,40
V0127,06-05-2024,07:25,Delhi,Ring Road,No Seatbelt,Bus,1000,Yes,weather,Yes,,,,,,33,Fog,0
V0128,07-05-2024,10:08,Bengaluru,Silk Board Junction,Drunk Driving,Car,10000,No,weather,No,,,,,,11,Rain,7
V0129,08-05-2024,02:52,Delhi,Ring Road,Speeding,Bike,2000,No,weather,Yes,,,,,,28,Clear,0
V0130,09-05-2024,21:32,Mumbai,Western Express Highway,Drunk Driving,Auto,10000,No,weather,Yes,A0130,Medium,4,Rain,0,11,Clear,0
V0131,10-05-2024,00:55,Hyderabad,Hitech City Road,Speeding,Bike,2000,No,weather,No,,,,,,12,Fog,0
V0132,11-05-2024,15:01,Hyderabad,Hitech City Road,No Seatbelt,Bus,1000,Yes,weather,No,A0132,Low,3,Clear,3,26,Rain,41
V0133,12-05-2024,02:33,Chennai,Anna Salai,Drunk Driving,Car,10000,No,weather,Yes,,,,,,36,Fog,0
V0134,13-05-2024,18:37,Chennai,OMR Road,No Seatbelt,Bike,1000,Yes,weather,No,,,,,,17,Clear,0
V0135,14-05-2024,07:17,Chennai,Mount Road,Signal Jump,Bus,1500,Yes,weather,Yes,,,,,,17,Clear,19
V0136,15-05-2024,22:39,Hyderabad,ORR Hyderabad,Signal Jump,Bus,1500,No,weather,Yes,,,,,,38,Clear,0
V0137,16-05-2024,20:02,Mumbai,SV Road,No Helmet,Truck,500,No,weather,Yes,,,,,,38,Fog,0
V0138,17-05-2024,07:29,Bengaluru,Silk Board Junction,Drunk Driving,Car,10000,Yes,weather,Yes,,,,,,15,Clear,0
V0139,18-05-2024,15:38,Mumbai,SV Road,Wrong Side,Bus,1000,No,weather,Yes,,,,,,34,Fog,0
V0140,19-05-2024,11:35,Chennai,Mount Road,Wrong Side,Auto,1000,Yes,weather,No,,,,,,32,Fog,0
V0141,20-05-2024,04:57,Bengaluru,Whitefield Road,Drunk Driving,Auto,10000,Yes,weather,Yes,,,,,,29,Clear,0
V0142,21-05-2024,10:26,Mumbai,SV Road,Speeding,Bike,2000,Yes,weather,Yes,A0142,Low,4,Clear,2,37,Rain,0
V0143,22-05-2024,23:56,Mumbai,Link Road,Signal Jump,Car,1500,Yes,weather,No,,,,,,35,Rain,0
V0144,23-05-2024,16:52,Bengaluru,Whitefield Road,Speeding,Bike,2000,No,weather,No,,,,,,21,Clear,40
V0145,24-05-2024,20:35,Chennai,Mount Road,Drunk Driving,Truck,10000,Yes,weather,Yes,,,,,,27,Rain,7
V0146,25-05-2024,08:26,Hyderabad,Mehdipatnam Road,No Helmet,Truck,500,No,weather,No,,,,,,29,Rain,0
V0147,26-05-2024,22:54,Chennai,Mount Road,Drunk Driving,Car,10000,Yes,weather,No,,,,,,34,Rain,0
V0148,27-05-2024,04:52,Delhi,Ring Road,Drunk Driving,Auto,10000,Yes,weather,Yes,,,,,,20,Fog,23
V0149,28-05-2024,18:52,Chennai,Mount Road,Wrong Side,Bike,1000,No,weather,Yes,,,,,,34,Clear,0
V0150,29-05-2024,15:49,Delhi,Outer Ring Road,Drunk Driving,Bus,10000,Yes,weather,Yes,,,,,,28,Fog,0
V0151,30-05-2024,04:44,Bengaluru,Outer Ring Road,Speeding,Auto,2000,Yes,weather,Yes,,,,,,16,Fog,0
V0152,31-05-2024,05:44,Mumbai,Western Express Highway,No Helmet,Car,500,Yes,weather,No,,,,,,13,Fog,0
V0153,01-06-2024,13:00,Bengaluru,Outer Ring Road,Speeding,Auto,2000,Yes,weather,No,,,,,,21,Rain,23
V0154,02-06-2024,02:50,Delhi,MG Road,Wrong Side,Bus,1000,Yes,weather,No,,,,,,16,Rain,0
V0155,03-06-2024,19:33,Bengaluru,Outer Ring Road,No Helmet,Truck,500,Yes,weather,Yes,,,,,,28,Clear,0
V0156,04-06-2024,06:40,Bengaluru,Silk Board Junction,Signal Jump,Auto,1500,No,weather,No,,,,,,18,Clear,0
V0157,05-06-2024,11:51,Hyderabad,Hitech City Road,No Helmet,Auto,500,Yes,weather,Yes,,,,,,17,Rain,0
V0158,06-06-2024,10:22,Hyderabad,ORR Hyderabad,Signal Jump,Auto,1500,Yes,weather,Yes,,,,,,29,Clear,0
V0159,07-06-2024,04:28,Mumbai,Link Road,Speeding,Bike,2000,Yes,weather,No,,,,,,27,Clear,12
V0160,08-06-2024,09:34,Hyderabad,Hitech City Road,No Seatbelt,Auto,1000,No,weather,Yes,,,,,,32,Fog,0
V0161,09-06-2024,12:36,Chennai,OMR Road,Wrong Side,Car,1000,No,weather,No,,,,,,20,Clear,4
V0162,10-06-2024,13:32,Bengaluru,Silk Board Junction,Wrong Side,Bike,1000,Yes,weather,Yes,,,,,,19,Rain,42
V0163,11-06-2024,19:42,Bengaluru,Outer Ring Road,No Helmet,Bike,500,Yes,weather,Yes,,,,,,10,Rain,29
V0164,12-06-2024,11:51,Hyderabad,Hitech City Road,Wrong Side,Bus,1000,Yes,weather,Yes,,,,,,36,Clear,0
V0165,13-06-2024,22:57,Hyderabad,Hitech City Road,Wrong Side,Truck,1000,No,weather,No,,,,,,29,Clear,0
V0166,14-06-2024,15:25,Hyderabad,ORR Hyderabad,No Seatbelt,Bike,1000,Yes,weather,Yes,,,,,,27,Rain,0
V0167,15-06-2024,09:54,Hyderabad,Mehdipatnam Road,Drunk Driving,Auto,10000,No,weather,Yes,,,,,,18,Clear,0
V0168,16-06-2024,21:58,Hyderabad,Hitech City Road,Drunk Driving,Bus,10000,No,weather,No,,,,,,27,Clear,47
V0169,17-06-2024,02:25,Chennai,Mount Road,No Seatbelt,Auto,1000,Yes,weather,No,,,,,,37,Fog,0
V0170,18-06-2024,08:53,Bengaluru,Silk Board Junction,Signal Jump,Auto,1500,Yes,weather,Yes,,,,,,20,Clear,0
V0171,19-06-2024,15:43,Hyderabad,Mehdipatnam Road,Wrong Side,Bike,1000,No,weather,Yes,,,,,,31,Clear,0
V0172,20-06-2024,02:52,Delhi,Outer Ring Road,Speeding,Car,2000,Yes,weather,No,,,,,,38,Fog,0
V0173,21-06-2024,01:39,Mumbai,Western Express Highway,Drunk Driving,Bus,10000,No,weather,Yes,A0173,Low,4,Rain,0,13,Fog,0
V0174,22-06-2024,23:15,Chennai,Anna Salai,No Helmet,Truck,500,Yes,weather,No,,,,,,19,Fog,0
V0175,23-06-2024,16:12,Hyderabad,Hitech City Road,No Seatbelt,Truck,1000,Yes,weather,Yes,,,,,,19,Clear,0
V0176,24-06-2024,12:14,Hyderabad,Mehdipatnam Road,No Helmet,Truck,500,Yes,weather,No,,,,,,27,Rain,0
V0177,25-06-2024,04:33,Mumbai,Western Express Highway,Signal Jump,Bus,1500,Yes,weather,Yes,,,,,,25,Rain,0
V0178,26-06-2024,02:31,Hyderabad,ORR Hyderabad,Drunk Driving,Truck,10000,No,weather,Yes,,,,,,19,Fog,0
V0179,27-06-2024,15:12,Bengaluru,Silk Board Junction,Wrong Side,Car,1000,No,weather,Yes,,,,,,13,Fog,0
V0180,28-06-2024,16:53,Mumbai,Western Express Highway,Signal Jump,Car,1500,No,weather,Yes,,,,,,13,Fog,0
V0181,29-06-2024,17:03,Delhi,MG Road,Wrong Side,Bike,1000,Yes,weather,No,,,,,,30,Fog,0
V0182,30-06-2024,17:06,Delhi,Ring Road,No Helmet,Truck,500,No,weather,Yes,,,,,,22,Rain,0
V0183,01-07-2024,18:30,Mumbai,SV Road,Wrong Side,Bus,1000,Yes,weather,No,,,,,,14,Fog,0
V0184,02-07-2024,19:16,Hyderabad,Hitech City Road,No Helmet,Auto,500,Yes,weather,Yes,,,,,,19,Fog,0
V0185,03-07-2024,10:09,Bengaluru,Silk Board Junction,Wrong Side,Truck,1000,No,weather,Yes,,,,,,32,Fog,0
V0186,04-07-2024,10:23,Chennai,OMR Road,No Seatbelt,Bus,1000,No,weather,Yes,,,,,,10,Clear,0
V0187,05-07-2024,13:40,Delhi,MG Road,Signal Jump,Car,1500,No,weather,Yes,,,,,,34,Clear,0
V0188,06-07-2024,18:29,Mumbai,SV Road,Speeding,Car,2000,No,weather,Yes,A0188,Medium,1,Clear,2,27,Clear,0
V0189,07-07-2024,10:21,Bengaluru,Outer Ring Road,Signal Jump,Car,1500,No,weather,Yes,,,,,,34,Fog,0
V0190,08-07-2024,18:33,Hyderabad,Mehdipatnam Road,No Seatbelt,Auto,1000,Yes,weather,Yes,,,,,,11,Clear,0
V0191,09-07-2024,05:59,Bengaluru,Outer Ring Road,Speeding,Car,2000,Yes,weather,Yes,,,,,,12,Clear,43
V0192,10-07-2024,01:39,Hyderabad,ORR Hyderabad,Signal Jump,Car,1500,No,weather,Yes,,,,,,38,Clear,0
V0193,11-07-2024,01:27,Bengaluru,Whitefield Road,Drunk Driving,Bike,10000,Yes,weather,No,,,,,,35,Rain,0
V0194,12-07-2024,06:14,Mumbai,Link Road,Speeding,Bus,2000,Yes,weather,No,,,,,,13,Fog,0
V0195,13-07-2024,10:37,Delhi,GT Road,Drunk Driving,Bus,10000,Yes,weather,No,,,,,,13,Rain,44
V0196,14-07-2024,05:10,Bengaluru,Outer Ring Road,Speeding,Truck,2000,Yes,weather,Yes,,,,,,17,Clear,0
V0197,15-07-2024,13:51,Mumbai,SV Road,Drunk Driving,Truck,10000,No,weather,Yes,,,,,,28,Fog,40
V0198,16-07-2024,15:48,Mumbai,Link Road,Drunk Driving,Auto,10000,Yes,weather,No,,,,,,26,Fog,31
V0199,17-07-2024,05:52,Delhi,MG Road,Speeding,Car,2000,No,weather,No,,,,,,24,Clear,2
V0200,18-07-2024,10:23,Chennai,Anna Salai,Speeding,Truck,2000,No,weather,No,,,,,,15,Clear,0
V0201,19-07-2024,08:37,Bengaluru,Outer Ring Road,Drunk Driving,Auto,10000,Yes,weather,Yes,,,,,,24,Fog,0
V0202,20-07-2024,13:16,Delhi,Ring Road,No Seatbelt,Car,1000,No,weather,Yes,,,,,,32,Rain,34
V0203,21-07-2024,05:39,Delhi,Outer Ring Road,Speeding,Car,2000,Yes,weather,No,,,,,,11,Rain,27
V0204,22-07-2024,17:33,Bengaluru,Whitefield Road,Drunk Driving,Truck,10000,Yes,weather,No,,,,,,31,Rain,8
V0205,23-07-2024,05:04,Chennai,Mount Road,Signal Jump,Truck,1500,No,weather,No,,,,,,35,Clear,40
V0206,24-07-2024,20:54,Chennai,OMR Road,No Helmet,Car,500,No,weather,Yes,,,,,,20,Fog,0
V0207,25-07-2024,02:19,Hyderabad,Mehdipatnam Road,No Helmet,Bike,500,Yes,weather,No,,,,,,16,Rain,0
V0208,26-07-2024,23:22,Mumbai,SV Road,No Seatbelt,Bike,1000,Yes,weather,Yes,,,,,,21,Fog,0
V0209,27-07-2024,00:30,Hyderabad,Mehdipatnam Road,Drunk Driving,Truck,10000,No,weather,Yes,,,,,,32,Rain,0
V0210,28-07-2024,08:13,Chennai,Anna Salai,Wrong Side,Car,1000,Yes,weather,No,,,,,,33,Fog,8
V0211,29-07-2024,00:03,Delhi,GT Road,No Seatbelt,Auto,1000,Yes,weather,No,,,,,,37,Fog,0
V0212,30-07-2024,16:24,Hyderabad,ORR Hyderabad,No Helmet,Car,500,No,weather,Yes,,,,,,36,Fog,0
V0213,31-07-2024,08:35,Delhi,Outer Ring Road,No Helmet,Car,500,No,weather,No,,,,,,12,Clear,44
